Anio;Fecha;Hora;Ronda;Estadio;Ciudad;Pais;EquipoLocal;golLocal;EquipoVisita;golVisita;Asistencia
1938;12/06/1938;17:00;Quarter-finals;Fort Carree;Antibes ;France;Sweden;8;Cuba;0;47351
1938;12/06/1938;17:00;Quarter-finals;Stade Olympique;Colombes ;France;Italy;3;France;1;32014
1938;14/06/1938;18:00;Quarter-finals;Stade du Parc Lescure;Bordeaux ;France;Brazil;2;Czechoslovakia;1;46145
1938;16/06/1938;18:00;Semi-finals;Parc des Princes;Paris ;France;Hungary;5;Sweden;1;17443
1938;16/06/1938;18:00;Semi-finals;Stade Vélodrome;Marseilles ;France;Italy;2;Brazil;1;38791
1938;19/06/1938;17:00;Match for third place;Stade du Parc Lescure;Bordeaux ;France;Brazil;4;Sweden;2;17471
1938;19/06/1938;17:00;Final;Stade Olympique;Colombes ;France;Italy;4;Hungary;2;33715
1950;24/06/1950;15:00;Group 1;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;Brazil;4;Mexico;0;37460
1950;25/06/1950;15:00;Group 2;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;England;2;Chile;0;49653
1950;25/06/1950;15:00;Group 2;Durival de Brito;Curitiba ;Brazil;Spain;3;USA;1;47058
1950;25/06/1950;15:00;Group 3;Pacaembu;Sao Paulo ;Brazil;Sweden;3;Italy;2;44981
1950;25/06/1950;15:00;Group 1;Independencia;Belo Horizonte ;Brazil;Yugoslavia;3;Switzerland;0;20177
1950;28/06/1950;15:00;Group 1;Pacaembu;Sao Paulo ;Brazil;Brazil;2;Switzerland;2;38078
1950;28/06/1950;15:00;Group 1;Eucaliptos;Porto Alegre ;Brazil;Yugoslavia;4;Mexico;1;11064
1950;29/06/1950;15:00;Group 2;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;Spain;2;Chile;0;20853
1950;29/06/1950;15:30;Group 3;Durival de Brito;Curitiba ;Brazil;Sweden;2;Paraguay;2;12064
1950;29/06/1950;15:00;Group 2;Independencia;Belo Horizonte ;Brazil;USA;1;England;0;21451
1950;1/07/1950;15:00;Group 1;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;Brazil;2;Yugoslavia;0;32030
1950;2/07/1950;15:00;Group 2;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;Spain;1;England;0;23338
1950;2/07/1950;15:00;Group 3;Pacaembu;Sao Paulo ;Brazil;Italy;2;Paraguay;0;8678
1950;2/07/1950;15:00;Group 4;Independencia;Belo Horizonte ;Brazil;Uruguay;8;Bolivia;0;43457
1950;2/07/1950;15:40;Group 1;Eucaliptos;Porto Alegre ;Brazil;Switzerland;2;Mexico;1;16356
1950;2/07/1950;15:00;Group 2;Ilha do Retiro;Recife ;Brazil;Chile;5;USA;2;1819
1950;9/07/1950;15:00;Group 6;Pacaembu;Sao Paulo ;Brazil;Uruguay;2;Spain;2;37975
1950;9/07/1950;15:00;Group 6;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;Brazil;7;Sweden;1;8574
1950;13/07/1950;15:00;Group 6;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;Brazil;6;Spain;1;35641
1950;13/07/1950;15:00;Group 6;Pacaembu;Sao Paulo ;Brazil;Uruguay;3;Sweden;2;46457
1950;16/07/1950;15:00;Group 6;Pacaembu;Sao Paulo ;Brazil;Sweden;3;Spain;1;46743
1950;16/07/1950;15:00;Group 6;Maracaná - Estádio Jornalista Mário Filho;Rio De Janeiro ;Brazil;Uruguay;2;Brazil;1;23664
1954;16/06/1954;18:00;Group 3;Wankdorf Stadium;Berne ;Switzerland;Uruguay;2;Czechoslovakia;0;2635
1954;16/06/1954;18:00;Group 3;Hardturm;Zurich ;Switzerland;Austria;1;Scotland;0;46981
1954;16/06/1954;18:00;Group 1;Charmilles;Geneva ;Switzerland;Brazil;5;Mexico;0;22688
1954;16/06/1954;18:00;Group 1;La Pontaise;Lausanne ;Switzerland;Yugoslavia;1;France;0;38121
1954;17/06/1954;18:00;Group 2;Wankdorf Stadium;Berne ;Switzerland;Germany FR;4;Turkey;1;48450
1954;17/06/1954;18:00;Group 2;Hardturm;Zurich ;Switzerland;Hungary;9;Korea Republic;0;18638
1954;17/06/1954;18:10;Group 4;St. Jakob;Basel ;Switzerland;England;4;Belgium;4;7972
1954;17/06/1954;17:50;Group 4;La Pontaise;Lausanne ;Switzerland;Switzerland;2;Italy;1;21146
1954;19/06/1954;16:50;Group 3;St. Jakob;Basel ;Switzerland;Uruguay;7;Scotland;0;42165
1954;19/06/1954;17:00;Group 3;Hardturm;Zurich ;Switzerland;Austria;5;Czechoslovakia;0;13231
1954;19/06/1954;17:10;Group 1;Charmilles;Geneva ;Switzerland;France;3;Mexico;2;21373
1954;19/06/1954;17:00;Group 1;La Pontaise;Lausanne ;Switzerland;Brazil;1;Yugoslavia;1;47632
1954;20/06/1954;16:50;Group 2;St. Jakob;Basel ;Switzerland;Hungary;8;Germany FR;3;24513
1954;20/06/1954;17:00;Group 2;Charmilles;Geneva ;Switzerland;Turkey;7;Korea Republic;0;33506
1954;20/06/1954;17:10;Group 4;Wankdorf Stadium;Berne ;Switzerland;England;2;Switzerland;0;16515
1954;20/06/1954;17:00;Group 4;Comunale di Cornaredo;Lugano ;Switzerland;Italy;4;Belgium;1;33439
1954;23/06/1954;18:00;Group 2;Hardturm;Zurich ;Switzerland;Germany FR;7;Turkey;2;17244
1954;23/06/1954;18:00;Group 4;St. Jakob;Basel ;Switzerland;Switzerland;4;Italy;1;8123
1954;26/06/1954;17:00;Quarter-finals;St. Jakob;Basel ;Switzerland;Uruguay;4;England;2;43401
1954;26/06/1954;17:00;Quarter-finals;La Pontaise;Lausanne ;Switzerland;Austria;7;Switzerland;5;36436
1954;27/06/1954;17:00;Quarter-finals;Charmilles;Geneva ;Switzerland;Germany FR;2;Yugoslavia;0;17078
1954;27/06/1954;17:00;Quarter-finals;Wankdorf Stadium;Berne ;Switzerland;Hungary;4;Brazil;2;6369
1954;30/06/1954;18:00;Semi-finals;St. Jakob;Basel ;Switzerland;Germany FR;6;Austria;1;44791
1954;30/06/1954;18:00;Semi-finals;La Pontaise;Lausanne ;Switzerland;Hungary;4;Uruguay;2;7269
1954;3/07/1954;17:00;Match for third place;Hardturm;Zurich ;Switzerland;Austria;3;Uruguay;1;15243
1954;4/07/1954;17:00;Final;Wankdorf Stadium;Berne ;Switzerland;Germany FR;3;Hungary;2;17749
1958;8/06/1958;14:00;Group 3;Rasunda Stadium;Solna ;Sweden;Sweden;3;Mexico;0;47980
1958;8/06/1958;19:00;Group 4;Nya Ullevi;Gothenburg ;Sweden;Soviet Union;2;England;2;21947
1958;8/06/1958;19:00;Group 1;Malmo Stadion;Malmo;Sweden;Argentina;1;Germany FR;3;48743
1958;8/06/1958;19:00;Group 3;Jarnvallen;Sandviken ;Sweden;Hungary;1;Wales;1;35415
1958;8/06/1958;19:00;Group 2;Idrottsparken;Norrkoping;Sweden;France;7;Paraguay;3;41612
1958;8/06/1958;19:00;Group 2;Arosvallen;Vasteras ;Sweden;Yugoslavia;1;Scotland;1;32991
1958;8/06/1958;19:00;Group 4;Rimnersvallen;Udevalla ;Sweden;Brazil;3;Austria;0;38117
1958;8/06/1958;19:00;Group 1;Orjans Vall;Halmstad ;Sweden;Northern Ireland;1;Czechoslovakia;0;18428
1958;11/06/1958;19:00;Group 4;Nya Ullevi;Gothenburg ;Sweden;Brazil;0;England;0;35515
1958;11/06/1958;19:00;Group 3;Rasunda Stadium;Solna ;Sweden;Mexico;1;Wales;1;48246
1958;11/06/1958;19:00;Group 2;Idrottsparken;Norrkoping;Sweden;Paraguay;3;Scotland;2;39659
1958;11/06/1958;19:00;Group 2;Arosvallen;Vasteras ;Sweden;Yugoslavia;3;France;2;11499
1958;11/06/1958;19:00;Group 4;Ryavallen;Boras ;Sweden;Soviet Union;2;Austria;0;3965
1958;11/06/1958;19:00;Group 1;Olympia Stadium;Helsingborg ;Sweden;Germany FR;2;Czechoslovakia;2;4928
1958;11/06/1958;19:00;Group 1;Orjans Vall;Halmstad ;Sweden;Argentina;3;Northern Ireland;1;42126
1958;12/06/1958;19:00;Group 3;Rasunda Stadium;Solna ;Sweden;Sweden;2;Hungary;1;4581
1958;15/06/1958;14:00;Group 3;Rasunda Stadium;Solna ;Sweden;Sweden;0;Wales;0;22595
1958;15/06/1958;19:00;Group 4;Nya Ullevi;Gothenburg ;Sweden;Brazil;2;Soviet Union;0;38683
1958;15/06/1958;19:00;Group 1;Malmo Stadion;Malmo;Sweden;Germany FR;2;Northern Ireland;2;20122
1958;15/06/1958;19:00;Group 3;Jarnvallen;Sandviken ;Sweden;Hungary;4;Mexico;0;24429
1958;15/06/1958;19:00;Group 2;Tunavallen;Eskilstuna ;Sweden;Paraguay;3;Yugoslavia;3;13520
1958;15/06/1958;19:00;Group 2;Eyravallen;Orebro ;Sweden;France;2;Scotland;1;30072
1958;15/06/1958;19:00;Group 4;Ryavallen;Boras ;Sweden;England;2;Austria;2;6520
1958;15/06/1958;19:00;Group 1;Olympia Stadium;Helsingborg ;Sweden;Czechoslovakia;6;Argentina;1;2550
1958;17/06/1958;19:00;Group 4;Nya Ullevi;Gothenburg ;Sweden;Soviet Union;1;England;0;1237
1958;17/06/1958;19:00;Group 1;Malmo Stadion;Malmo;Sweden;Northern Ireland;2;Czechoslovakia;1;1834
1958;17/06/1958;19:00;Group 3;Rasunda Stadium;Solna ;Sweden;Wales;2;Hungary;1;34162
1958;19/06/1958;19:00;Quarter-finals;Nya Ullevi;Gothenburg ;Sweden;Brazil;1;Wales;0;43389
1958;19/06/1958;19:00;Quarter-finals;Malmo Stadion;Malmo;Sweden;Germany FR;1;Yugoslavia;0;32509
1958;19/06/1958;19:00;Quarter-finals;Rasunda Stadium;Solna ;Sweden;Sweden;2;Soviet Union;0;4432
1958;19/06/1958;19:00;Quarter-finals;Idrottsparken;Norrkoping;Sweden;France;4;Northern Ireland;0;10498
1958;24/06/1958;19:00;Semi-finals;Nya Ullevi;Gothenburg ;Sweden;Sweden;3;Germany FR;1;28843
1958;24/06/1958;19:00;Semi-finals;Rasunda Stadium;Solna ;Sweden;Brazil;5;France;2;26002
1958;28/06/1958;17:00;Match for third place;Nya Ullevi;Gothenburg ;Sweden;France;6;Germany FR;3;10492
1958;29/06/1958;15:00;Final;Rasunda Stadium;Solna ;Sweden;Brazil;5;Sweden;2;47678
1962;30/05/1962;15:00;Group 1;Carlos Dittborn;Arica ;Chile;Uruguay;2;Colombia;1;15560
1962;30/05/1962;15:00;Group 3;Estadio Sausalito;Vina Del Mar ;Chile;Brazil;2;Mexico;0;22604
1962;30/05/1962;15:00;Group 4;Estadio El Teniente-Codelco;Rancagua ;Chile;Argentina;1;Bulgaria;0;43863
1962;30/05/1962;15:00;Group 2;Nacional;Santiago De Chile ;Chile;Chile;3;Switzerland;1;37780
1962;31/05/1962;15:00;Group 1;Carlos Dittborn;Arica ;Chile;Soviet Union;2;Yugoslavia;0;43104
1962;31/05/1962;15:00;Group 3;Estadio Sausalito;Vina Del Mar ;Chile;Czechoslovakia;1;Spain;0;20148
1962;31/05/1962;15:00;Group 4;Estadio El Teniente-Codelco;Rancagua ;Chile;Hungary;2;England;1;47584
1962;31/05/1962;15:00;Group 2;Nacional;Santiago De Chile ;Chile;Germany FR;0;Italy;0;25332
1962;2/06/1962;15:00;Group 1;Carlos Dittborn;Arica ;Chile;Yugoslavia;3;Uruguay;1;10742
1962;2/06/1962;15:00;Group 3;Estadio Sausalito;Vina Del Mar ;Chile;Brazil;0;Czechoslovakia;0;16745
1962;2/06/1962;15:00;Group 4;Estadio El Teniente-Codelco;Rancagua ;Chile;England;3;Argentina;1;39862
1962;2/06/1962;15:00;Group 2;Nacional;Santiago De Chile ;Chile;Chile;2;Italy;0;40477
1962;3/06/1962;15:00;Group 1;Carlos Dittborn;Arica ;Chile;Soviet Union;4;Colombia;4;15640
1962;3/06/1962;15:00;Group 3;Estadio Sausalito;Vina Del Mar ;Chile;Spain;1;Mexico;0;42365
1962;3/06/1962;15:00;Group 4;Estadio El Teniente-Codelco;Rancagua ;Chile;Hungary;6;Bulgaria;1;23239
1962;3/06/1962;15:00;Group 2;Nacional;Santiago De Chile ;Chile;Germany FR;2;Switzerland;1;43093
1962;6/06/1962;15:00;Group 1;Carlos Dittborn;Arica ;Chile;Soviet Union;2;Uruguay;1;10731
1962;6/06/1962;15:00;Group 3;Estadio Sausalito;Vina Del Mar ;Chile;Brazil;2;Spain;1;2972
1962;6/06/1962;15:00;Group 4;Estadio El Teniente-Codelco;Rancagua ;Chile;Hungary;0;Argentina;0;6579
1962;6/06/1962;15:00;Group 2;Nacional;Santiago De Chile ;Chile;Germany FR;2;Chile;0;30349
1962;7/06/1962;15:00;Group 1;Carlos Dittborn;Arica ;Chile;Yugoslavia;5;Colombia;0;37772
1962;7/06/1962;15:00;Group 3;Estadio Sausalito;Vina Del Mar ;Chile;Mexico;3;Czechoslovakia;1;47928
1962;7/06/1962;15:00;Group 4;Estadio El Teniente-Codelco;Rancagua ;Chile;England;0;Bulgaria;0;14326
1962;7/06/1962;15:00;Group 2;Nacional;Santiago De Chile ;Chile;Italy;3;Switzerland;0;43748
1962;10/06/1962;14:30;Quarter-finals;Carlos Dittborn;Arica ;Chile;Chile;2;Soviet Union;1;44982
1962;10/06/1962;14:30;Quarter-finals;Estadio Sausalito;Vina Del Mar ;Chile;Brazil;3;England;1;29396
1962;10/06/1962;14:30;Quarter-finals;Estadio El Teniente-Codelco;Rancagua ;Chile;Czechoslovakia;1;Hungary;0;9702
1962;10/06/1962;14:30;Quarter-finals;Nacional;Santiago De Chile ;Chile;Yugoslavia;1;Germany FR;0;31511
1962;13/06/1962;14:30;Semi-finals;Estadio Sausalito;Vina Del Mar ;Chile;Czechoslovakia;3;Yugoslavia;1;27301
1962;13/06/1962;14:30;Semi-finals;Nacional;Santiago De Chile ;Chile;Brazil;4;Chile;2;37981
1962;16/06/1962;14:30;Match for third place;Nacional;Santiago De Chile ;Chile;Chile;1;Yugoslavia;0;28032
1962;17/06/1962;14:30;Final;Nacional;Santiago De Chile ;Chile;Brazil;3;Czechoslovakia;1;49406
1966;11/07/1966;19:30;Group 1;Wembley Stadium;London ;England;England;0;Uruguay;0;15154
1966;12/07/1966;19:30;Group 2;Hillsborough;Sheffield ;England;Germany FR;5;Switzerland;0;49330
1966;12/07/1966;19:30;Group 3;Goodison Park;Liverpool ;England;Brazil;2;Bulgaria;0;44397
1966;12/07/1966;19:30;Group 4;Ayresome Park;Middlesbrough ;England;Soviet Union;3;Korea DPR;0;30472
1966;13/07/1966;19:30;Group 1;Wembley Stadium;London ;England;France;1;Mexico;1;17807
1966;13/07/1966;19:30;Group 3;Old Trafford Stadium;Manchester ;England;Portugal;3;Hungary;1;48435
1966;13/07/1966;19:30;Group 2;Villa Park;Birmingham ;England;Argentina;2;Spain;1;28106
1966;13/07/1966;19:30;Group 4;Roker Park Ground;Sunderland ;England;Italy;2;Chile;0;49151
1966;15/07/1966;19:30;Group 1;White City;London ;England;Uruguay;2;France;1;31226
1966;15/07/1966;19:30;Group 2;Hillsborough;Sheffield ;England;Spain;2;Switzerland;1;23852
1966;15/07/1966;19:30;Group 3;Goodison Park;Liverpool ;England;Hungary;3;Brazil;1;46389
1966;15/07/1966;19:30;Group 4;Ayresome Park;Middlesbrough ;England;Korea DPR;1;Chile;1;4985
1966;16/07/1966;15:00;Group 3;Old Trafford Stadium;Manchester ;England;Portugal;3;Bulgaria;0;41752
1966;16/07/1966;15:00;Group 2;Villa Park;Birmingham ;England;Germany FR;0;Argentina;0;33139
1966;16/07/1966;15:00;Group 4;Roker Park Ground;Sunderland ;England;Soviet Union;1;Italy;0;8301
1966;16/07/1966;19:30;Group 1;Wembley Stadium;London ;England;England;2;Mexico;0;28797
1966;19/07/1966;16:30;Group 1;Wembley Stadium;London ;England;Uruguay;0;Mexico;0;4886
1966;19/07/1966;19:30;Group 2;Hillsborough;Sheffield ;England;Argentina;2;Switzerland;0;13081
1966;19/07/1966;19:30;Group 3;Goodison Park;Liverpool ;England;Portugal;3;Brazil;1;33340
1966;19/07/1966;19:30;Group 4;Ayresome Park;Middlesbrough ;England;Korea DPR;1;Italy;0;23258
1966;20/07/1966;19:30;Group 1;Wembley Stadium;London ;England;England;2;France;0;9512
1966;20/07/1966;19:30;Group 3;Old Trafford Stadium;Manchester ;England;Hungary;3;Bulgaria;1;34874
1966;20/07/1966;19:30;Group 2;Villa Park;Birmingham ;England;Germany FR;2;Spain;1;34561
1966;20/07/1966;19:30;Group 4;Roker Park Ground;Sunderland ;England;Soviet Union;2;Chile;1;36231
1966;23/07/1966;15:00;Quarter-finals;Wembley Stadium;London ;England;England;1;Argentina;0;3905
1966;23/07/1966;15:00;Quarter-finals;Hillsborough;Sheffield ;England;Germany FR;4;Uruguay;0;33619
1966;23/07/1966;15:00;Quarter-finals;Roker Park Ground;Sunderland ;England;Soviet Union;2;Hungary;1;34963
1966;23/07/1966;15:00;Quarter-finals;Goodison Park;Liverpool ;England;Portugal;5;Korea DPR;3;5275
1966;25/07/1966;19:30;Semi-finals;Goodison Park;Liverpool ;England;Germany FR;2;Soviet Union;1;4589
1966;26/07/1966;19:30;Semi-finals;Wembley Stadium;London ;England;England;2;Portugal;1;26332
1966;28/07/1966;19:30;Match for third place;Wembley Stadium;London ;England;Portugal;2;Soviet Union;1;21284
1966;30/07/1966;15:00;Final;Wembley Stadium;London ;England;England;4;Germany FR;2;10370
1970;31/05/1970;12:00;Group 1;Estadio Azteca;Mexico City ;Mexico;Mexico;0;Soviet Union;0;26758
1970;2/06/1970;16:00;Group 2;Cuauhtemoc;Puebla ;Mexico;Uruguay;2;Israel;0;23323
1970;2/06/1970;16:00;Group 4;Nou Camp - Estadio León;Leon ;Mexico;Peru;3;Bulgaria;2;22013
1970;2/06/1970;16:00;Group 3;Jalisco;Guadalajara ;Mexico;England;1;Romania;0;24458
1970;3/06/1970;16:00;Group 2;Luis Dosal;Toluca ;Mexico;Italy;1;Sweden;0;22813
1970;3/06/1970;16:00;Group 4;Nou Camp - Estadio León;Leon ;Mexico;Germany FR;2;Morocco;1;24244
1970;3/06/1970;16:00;Group 3;Jalisco;Guadalajara ;Mexico;Brazil;4;Czechoslovakia;1;26670
1970;3/06/1970;16:00;Group 1;Estadio Azteca;Mexico City ;Mexico;Belgium;3;El Salvador;0;42978
1970;6/06/1970;16:00;Group 2;Cuauhtemoc;Puebla ;Mexico;Uruguay;0;Italy;0;48129
1970;6/06/1970;16:00;Group 4;Nou Camp - Estadio León;Leon ;Mexico;Peru;3;Morocco;0;23569
1970;6/06/1970;16:00;Group 3;Jalisco;Guadalajara ;Mexico;Romania;2;Czechoslovakia;1;16538
1970;6/06/1970;16:00;Group 1;Estadio Azteca;Mexico City ;Mexico;Soviet Union;4;Belgium;1;23933
1970;7/06/1970;12:00;Group 2;Luis Dosal;Toluca ;Mexico;Sweden;1;Israel;1;39677
1970;7/06/1970;12:00;Group 4;Nou Camp - Estadio León;Leon ;Mexico;Germany FR;5;Bulgaria;2;30641
1970;7/06/1970;12:00;Group 3;Jalisco;Guadalajara ;Mexico;Brazil;1;England;0;44227
1970;7/06/1970;12:00;Group 1;Estadio Azteca;Mexico City ;Mexico;Mexico;4;El Salvador;0;25492
1970;10/06/1970;16:00;Group 2;Cuauhtemoc;Puebla ;Mexico;Sweden;1;Uruguay;0;24097
1970;10/06/1970;16:00;Group 4;Nou Camp - Estadio León;Leon ;Mexico;Germany FR;3;Peru;1;14250
1970;10/06/1970;16:00;Group 3;Jalisco;Guadalajara ;Mexico;Brazil;3;Romania;2;1703
1970;10/06/1970;16:00;Group 1;Estadio Azteca;Mexico City ;Mexico;Soviet Union;2;El Salvador;0;32583
1970;11/06/1970;16:00;Group 2;Luis Dosal;Toluca ;Mexico;Italy;0;Israel;0;4706
1970;11/06/1970;16:00;Group 4;Nou Camp - Estadio León;Leon ;Mexico;Bulgaria;1;Morocco;1;38173
1970;11/06/1970;16:00;Group 3;Jalisco;Guadalajara ;Mexico;England;1;Czechoslovakia;0;28074
1970;11/06/1970;16:00;Group 1;Estadio Azteca;Mexico City ;Mexico;Mexico;1;Belgium;0;18968
1970;14/06/1970;12:00;Quarter-finals;Luis Dosal;Toluca ;Mexico;Italy;4;Mexico;1;36141
1970;14/06/1970;12:00;Quarter-finals;Nou Camp - Estadio León;Leon ;Mexico;Germany FR;3;England;2;36240
1970;14/06/1970;12:00;Quarter-finals;Jalisco;Guadalajara ;Mexico;Brazil;4;Peru;2;39324
1970;14/06/1970;12:00;Quarter-finals;Estadio Azteca;Mexico City ;Mexico;Uruguay;1;Soviet Union;0;26886
1970;17/06/1970;16:00;Semi-finals;Jalisco;Guadalajara ;Mexico;Brazil;3;Uruguay;1;37435
1970;17/06/1970;16:00;Semi-finals;Estadio Azteca;Mexico City ;Mexico;Italy;4;Germany FR;3;23238
1970;20/06/1970;16:00;Match for third place;Estadio Azteca;Mexico City ;Mexico;Germany FR;1;Uruguay;0;35345
1970;21/06/1970;12:00;Final;Estadio Azteca;Mexico City ;Mexico;Brazil;4;Italy;1;44263
1974;13/06/1974;17:00;Group 2;Waldstadion;Frankfurt/Main ;Germany;Brazil;0;Yugoslavia;0;13619
1974;14/06/1974;16:00;Group 1;Olympiastadion;Berlin West ;Germany;Germany FR;1;Chile;0;23475
1974;14/06/1974;19:30;Group 1;Volksparkstadion;Hamburg ;Germany;German DR;2;Australia;0;15345
1974;14/06/1974;19:30;Group 2;Westfalenstadion;Dortmund ;Germany;Zaire;0;Scotland;2;47938
1974;15/06/1974;16:00;Group 3;Niedersachsenstadion;Hanover ;Germany;Uruguay;0;Netherlands;2;13288
1974;15/06/1974;16:00;Group 3;Rheinstadion;Dusseldorf ;Germany;Sweden;0;Bulgaria;0;15601
1974;15/06/1974;18:00;Group 4;Olympiastadion;Munich ;Germany;Italy;3;Haiti;1;47171
1974;15/06/1974;18:00;Group 4;Neckarstadion;Stuttgart ;Germany;Poland;3;Argentina;2;19931
1974;18/06/1974;16:00;Group 1;Volksparkstadion;Hamburg ;Germany;Australia;0;Germany FR;3;27161
1974;18/06/1974;19:30;Group 2;Waldstadion;Frankfurt/Main ;Germany;Scotland;0;Brazil;0;25262
1974;18/06/1974;19:30;Group 1;Olympiastadion;Berlin West ;Germany;Chile;1;German DR;1;20807
